ORGANIZATION NUMBER;Party_ID;ATTRIBUTE17
5560599473;901932;SE
5560601931;23110835;SE
5560602269;10583679;SE
5560603614;22113276;SE
5560604158;391609;SE
5560604810;13832108;SE
5560605791;22651686;SE
5560606963;20981561;SE
5560608332;10583682;SE
5560611500;18569559;SE
5560611997;10583684;SE
5560612516;8876411;SE
5560613456;16146649;SE
5560614462;10583687;SE
5560615790;10583688;SE
5560617747;391612;SE
5560618463;4960538;SE
5560618943;15282565;SE
5560620196;16146651;SE
5560620220;248951;SE
5560620782;14619799;SE
5560622812;10583690;SE
5560623661;16146652;SE
5560623828;10583691;SE
5560624230;1313600;SE
5560624875;23003722;SE
5560625286;10583694;SE
5560626912;10583695;SE
5560627597;10583696;SE
5560631086;23422632;SE
5560632415;1014985;SE
5560634726;17901490;SE
5560636796;23004709;SE
5560637885;11432458;SE
5560638032;18911504;SE
5560638511;21190573;SE
5560639022;20695715;SE
5560639329;9419091;SE
5560639634;12543097;SE
5560639667;17109082;SE
5560640210;3438173;SE
5560641986;23315839;SE
5560643164;10026704;SE
5560643990;16295665;SE
5560644170;10583701;SE
5560646282;22284511;SE
5560647348;16146654;SE
5560647660;17845624;SE
5560649211;19258498;SE
5560649559;15072568;SE
5560650144;20259633;SE
5560650938;20557240;SE
5560653031;16146655;SE
5560655010;21487618;SE
5560655903;22427572;SE
5560657958;10583707;SE
5560658469;18829751;SE
5560658626;23161615;SE
5560660770;22545139;SE
5560662339;13897398;SE
5560663170;8878423;SE
5560663196;22651689;SE
5560664129;10583710;SE
5560668088;12959049;SE
5560668591;2381256;SE
5560670274;9592367;SE
5560670456;20662559;SE
5560674730;391617;SE
5560675505;17476640;SE
5560675786;5552450;SE
5560677311;10583713;SE
5560681719;22100819;SE
5560683780;22865532;SE
5560683871;21978707;SE
5560684622;15586284;SE
5560686940;391624;SE
5560687187;20695717;SE
5560688128;10583716;SE
5560688425;22651690;SE
5560688565;22651691;SE
5560689738;391637;SE
5560691296;22069510;SE
5560691684;18856514;SE
5560693185;10583717;SE
5560693805;391646;SE
5560693987;20695718;SE
5560696618;10583719;SE
5560698119;21080;SE
5560698473;391649;SE
5560699588;901934;SE
5560700279;10583721;SE
5560701715;247615;SE
5560704289;21145575;SE
5560706060;22708724;SE
5560709353;10583724;SE
5560711060;22407615;SE
5560714320;20324160;SE
5560714890;11977161;SE
5560716085;18401539;SE
5560717463;16880559;SE
5560719865;10583731;SE
5560720145;20695719;SE
5560720855;21371601;SE
5560721127;10583732;SE
5560721523;22651699;SE
5560722224;10583733;SE
5560724766;10982092;SE
5560725995;23055855;SE
5560726977;22708813;SE
5560727777;10583734;SE
5560732504;23094570;SE
5560736356;391663;SE
5560742800;21109172;SE
5560743030;391667;SE
5560743089;10583738;SE
5560743246;22100724;SE
5560744285;10583739;SE
5560746017;10583740;SE
5560747551;22530555;SE
5560747569;10583741;SE
5560747585;10583742;SE
5560749151;10583743;SE
5560749664;18359621;SE
5560751975;7680383;SE
5560752577;22651700;SE
5560752825;22723761;SE
5560754581;10583744;SE
5560754953;16146658;SE
5560757071;23519754;SE
5560757287;391704;SE
5560757436;22651701;SE
5560757832;14063539;SE
5560759937;18607246;SE
5560762741;19148502;SE
5560763970;1592823;SE
5560767146;391714;SE
5560767583;10583749;SE
5560768516;23004732;SE
5560771247;20169208;SE
5560771999;391716;SE
5560772419;10583750;SE
5560775586;20695720;SE
5560775701;21109173;SE
5560777491;22651702;SE
5560778028;10583753;SE
5560779018;391726;SE
5560779356;11922264;SE
5560782640;11432409;SE
5560784604;20662570;SE
5560784711;22196384;SE
5560785387;21298303;SE
5560786351;10583755;SE
5560786377;15353124;SE
5560786500;16146662;SE
5560786633;10583756;SE
5560786708;22338074;SE
5560787359;20855753;SE
5560788522;22651703;SE
5560789496;10583757;SE
5560789751;10583758;SE
5560790957;10583760;SE
5560791112;1487744;SE
5560791419;17886609;SE
5560792425;10583761;SE
5560792847;16146664;SE
5560794587;10583762;SE
5560795030;20626510;SE
5560796871;11414913;SE
5560800210;21403297;SE
5560801465;22734869;SE
5560801630;10583763;SE
5560801705;3523742;SE
5560802133;10583764;SE
5560804345;22651705;SE
5560805441;21457471;SE
5560806449;5571165;SE
5560806464;21698446;SE
5560806688;20569769;SE
5560807744;10583765;SE
5560809369;22734911;SE
5560810482;13994183;SE
5560813031;7278463;SE
5560813775;391730;SE
5560815549;3438161;SE
5560815556;10583766;SE
5560816604;10583767;SE
5560817461;20662193;SE
5560820879;21083;SE
5560824012;405242;SE
5560827080;10583769;SE
5560827502;22708846;SE
5560827718;18379619;SE
5560828369;22428502;SE
5560828385;22864632;SE
5560828674;20695722;SE
5560829383;22651706;SE
5560829599;16450521;SE
5560832577;10583772;SE
5560840190;901938;SE
5560840893;10583774;SE
5560840976;6295582;SE
5560840984;22480552;SE
5560842162;10583775;SE
5560844580;10583777;SE
5560845843;17985541;SE
5560846783;10583779;SE
5560847344;14619504;SE
5560847823;13995115;SE
5560848284;10681080;SE
5560850967;22172143;SE
